2026-09-15T08:56:05.125285800Z | inspection_cycle | cam=8 frame=5 product=bench-lan9 | capture=0.314s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.314s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.127280300Z | inspection_cycle | cam=3 frame=5 product=bench-lan4 | capture=0.322s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.322s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.128276800Z | inspection_cycle | cam=2 frame=5 product=bench-lan3 | capture=0.324s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.324s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:05.131267600Z | inspection_cycle | cam=5 frame=5 product=bench-lan6 | capture=0.323s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.323s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.110275400Z | inspection_cycle | cam=4 frame=6 product=bench-lan5 | capture=0.238s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.238s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.112270400Z | inspection_cycle | cam=2 frame=6 product=bench-lan3 | capture=0.238s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.238s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.127231200Z | inspection_cycle | cam=3 frame=6 product=bench-lan4 | capture=0.254s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.254s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.128227400Z | inspection_cycle | cam=8 frame=6 product=bench-lan9 | capture=0.254s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.254s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.132216500Z | inspection_cycle | cam=0 frame=6 product=bench-lan1 | capture=0.261s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.261s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
2026-09-15T08:56:15.144185200Z | inspection_cycle | cam=7 frame=6 product=bench-lan8 | capture=0.270s geom=0.000s py=0.000s (align=0.000s diff=0.000s anomaly=0.000s fp=0.000s enc=0.000s py_int=0.000s) decision=0.000s fanout=0.000s | ref_this_cycle_ms=0 wall_since_cam_thread=0.270s | CAPTURE py=NO_REFERENCE geom=SKIPPED score=0.0
